date,datetime,SPOSTMIN,SACTMIN,DAYOFWEEK
6/30/2018,6/30/2018 7:44,150,,Saturday
6/30/2018,6/30/2018 7:51,150,,Saturday
6/30/2018,6/30/2018 7:58,150,,Saturday
6/30/2018,6/30/2018 8:02,150,,Saturday
6/30/2018,6/30/2018 8:07,150,,Saturday
6/30/2018,6/30/2018 8:09,130,,Saturday
6/30/2018,6/30/2018 8:12,135,,Saturday
6/30/2018,6/30/2018 8:16,130,,Saturday
6/30/2018,6/30/2018 8:23,130,,Saturday
6/30/2018,6/30/2018 8:29,130,,Saturday
6/30/2018,6/30/2018 8:37,130,,Saturday
6/30/2018,6/30/2018 8:44,100,,Saturday
6/30/2018,6/30/2018 8:51,100,,Saturday
6/30/2018,6/30/2018 8:52,140,,Saturday
6/30/2018,6/30/2018 8:58,100,,Saturday
6/30/2018,6/30/2018 9:02,100,,Saturday
6/30/2018,6/30/2018 9:09,100,,Saturday
6/30/2018,6/30/2018 9:16,90,,Saturday
6/30/2018,6/30/2018 9:23,90,,Saturday
6/30/2018,6/30/2018 9:29,70,,Saturday
6/30/2018,6/30/2018 9:37,70,,Saturday
6/30/2018,6/30/2018 9:44,90,,Saturday
6/30/2018,6/30/2018 9:51,90,,Saturday
6/30/2018,6/30/2018 9:58,120,,Saturday
6/30/2018,6/30/2018 10:02,120,,Saturday
6/30/2018,6/30/2018 10:06,120,,Saturday
6/30/2018,6/30/2018 10:09,120,,Saturday
6/30/2018,6/30/2018 10:16,120,,Saturday
6/30/2018,6/30/2018 10:23,120,,Saturday
6/30/2018,6/30/2018 10:29,140,,Saturday
6/30/2018,6/30/2018 10:37,140,,Saturday
6/30/2018,6/30/2018 10:44,160,,Saturday
6/30/2018,6/30/2018 10:51,160,,Saturday
6/30/2018,6/30/2018 10:58,160,,Saturday
6/30/2018,6/30/2018 11:02,160,,Saturday
6/30/2018,6/30/2018 11:09,160,,Saturday
6/30/2018,6/30/2018 11:16,160,,Saturday
6/30/2018,6/30/2018 11:23,160,,Saturday
6/30/2018,6/30/2018 11:29,160,,Saturday
6/30/2018,6/30/2018 11:37,190,,Saturday
6/30/2018,6/30/2018 11:44,190,,Saturday
6/30/2018,6/30/2018 11:51,190,,Saturday
6/30/2018,6/30/2018 11:58,190,,Saturday
6/30/2018,6/30/2018 12:02,120,,Saturday
6/30/2018,6/30/2018 12:09,120,,Saturday
6/30/2018,6/30/2018 12:16,120,,Saturday
6/30/2018,6/30/2018 12:23,120,,Saturday
6/30/2018,6/30/2018 12:29,120,,Saturday
6/30/2018,6/30/2018 12:37,100,,Saturday
6/30/2018,6/30/2018 12:44,100,,Saturday
6/30/2018,6/30/2018 12:51,80,,Saturday
6/30/2018,6/30/2018 12:58,70,,Saturday
6/30/2018,6/30/2018 13:02,70,,Saturday
6/30/2018,6/30/2018 13:09,70,,Saturday
6/30/2018,6/30/2018 13:16,70,,Saturday
6/30/2018,6/30/2018 13:23,70,,Saturday
6/30/2018,6/30/2018 13:29,70,,Saturday
6/30/2018,6/30/2018 13:36,-999,,Saturday
6/30/2018,6/30/2018 13:37,-999,,Saturday
6/30/2018,6/30/2018 13:44,-999,,Saturday
6/30/2018,6/30/2018 13:51,-999,,Saturday
6/30/2018,6/30/2018 13:58,120,,Saturday
6/30/2018,6/30/2018 14:02,120,,Saturday
6/30/2018,6/30/2018 14:09,120,,Saturday
6/30/2018,6/30/2018 14:16,120,,Saturday
6/30/2018,6/30/2018 14:23,120,,Saturday
6/30/2018,6/30/2018 14:29,100,,Saturday
6/30/2018,6/30/2018 14:37,120,,Saturday
6/30/2018,6/30/2018 14:44,190,,Saturday
6/30/2018,6/30/2018 14:51,190,,Saturday
6/30/2018,6/30/2018 14:58,190,,Saturday
6/30/2018,6/30/2018 15:02,190,,Saturday
6/30/2018,6/30/2018 15:09,190,,Saturday
6/30/2018,6/30/2018 15:16,115,,Saturday
6/30/2018,6/30/2018 15:23,115,,Saturday
6/30/2018,6/30/2018 15:29,115,,Saturday
6/30/2018,6/30/2018 15:37,75,,Saturday
6/30/2018,6/30/2018 15:44,75,,Saturday
6/30/2018,6/30/2018 15:51,75,,Saturday
6/30/2018,6/30/2018 15:58,75,,Saturday
6/30/2018,6/30/2018 16:02,75,,Saturday
6/30/2018,6/30/2018 16:09,75,,Saturday
6/30/2018,6/30/2018 16:16,90,,Saturday
6/30/2018,6/30/2018 16:23,105,,Saturday
6/30/2018,6/30/2018 16:29,105,,Saturday
6/30/2018,6/30/2018 16:29,105,,Saturday
6/30/2018,6/30/2018 15:54,,37,Saturday
6/30/2018,6/30/2018 16:37,105,,Saturday
6/30/2018,6/30/2018 16:44,105,,Saturday
6/30/2018,6/30/2018 16:51,105,,Saturday
6/30/2018,6/30/2018 16:58,105,,Saturday
6/30/2018,6/30/2018 17:02,105,,Saturday
6/30/2018,6/30/2018 17:09,105,,Saturday
6/30/2018,6/30/2018 17:16,105,,Saturday
6/30/2018,6/30/2018 16:29,,49,Saturday
6/30/2018,6/30/2018 17:23,105,,Saturday
6/30/2018,6/30/2018 17:29,105,,Saturday
6/30/2018,6/30/2018 17:37,105,,Saturday
6/30/2018,6/30/2018 16:29,,49,Saturday
6/30/2018,6/30/2018 16:29,,49,Saturday
6/30/2018,6/30/2018 17:44,85,,Saturday
6/30/2018,6/30/2018 17:51,85,,Saturday
6/30/2018,6/30/2018 17:58,85,,Saturday
6/30/2018,6/30/2018 18:02,85,,Saturday
6/30/2018,6/30/2018 18:09,85,,Saturday
6/30/2018,6/30/2018 18:16,85,,Saturday
6/30/2018,6/30/2018 18:23,85,,Saturday
6/30/2018,6/30/2018 18:29,85,,Saturday
6/30/2018,6/30/2018 18:37,85,,Saturday
6/30/2018,6/30/2018 18:44,85,,Saturday
6/30/2018,6/30/2018 18:51,85,,Saturday
6/30/2018,6/30/2018 18:58,130,,Saturday
6/30/2018,6/30/2018 19:02,130,,Saturday
6/30/2018,6/30/2018 19:09,130,,Saturday
6/30/2018,6/30/2018 19:16,130,,Saturday
6/30/2018,6/30/2018 19:23,130,,Saturday
6/30/2018,6/30/2018 19:29,130,,Saturday
6/30/2018,6/30/2018 19:37,130,,Saturday
6/30/2018,6/30/2018 19:44,190,,Saturday
6/30/2018,6/30/2018 19:51,190,,Saturday
6/30/2018,6/30/2018 19:58,190,,Saturday
6/30/2018,6/30/2018 20:02,190,,Saturday
6/30/2018,6/30/2018 20:09,140,,Saturday
6/30/2018,6/30/2018 20:16,140,,Saturday
6/30/2018,6/30/2018 20:23,140,,Saturday
6/30/2018,6/30/2018 20:29,140,,Saturday
6/30/2018,6/30/2018 20:37,140,,Saturday
6/30/2018,6/30/2018 20:39,140,,Saturday
6/30/2018,6/30/2018 20:44,140,,Saturday
6/30/2018,6/30/2018 20:51,140,,Saturday
6/30/2018,6/30/2018 20:56,140,,Saturday
6/30/2018,6/30/2018 20:58,140,,Saturday
6/30/2018,6/30/2018 21:02,140,,Saturday
6/30/2018,6/30/2018 21:09,140,,Saturday
6/30/2018,6/30/2018 21:16,85,,Saturday
6/30/2018,6/30/2018 21:23,85,,Saturday
6/30/2018,6/30/2018 21:29,85,,Saturday
6/30/2018,6/30/2018 21:37,85,,Saturday
6/30/2018,6/30/2018 21:44,85,,Saturday
6/30/2018,6/30/2018 21:51,85,,Saturday
6/30/2018,6/30/2018 21:58,85,,Saturday
6/30/2018,6/30/2018 22:02,85,,Saturday
6/30/2018,6/30/2018 22:04,50,,Saturday
6/30/2018,6/30/2018 22:09,50,,Saturday
6/30/2018,6/30/2018 22:16,50,,Saturday
6/30/2018,6/30/2018 22:23,50,,Saturday
6/30/2018,6/30/2018 22:29,50,,Saturday
