date,datetime,SPOSTMIN,SACTMIN,DAYOFWEEK
5/26/2017,5/26/2017 9:06,-999,,Friday
5/26/2017,5/26/2017 9:10,5,,Friday
5/26/2017,5/26/2017 9:17,60,,Friday
5/26/2017,5/26/2017 9:24,60,,Friday
5/26/2017,5/26/2017 9:30,60,,Friday
5/26/2017,5/26/2017 9:38,45,,Friday
5/26/2017,5/26/2017 9:45,45,,Friday
5/26/2017,5/26/2017 9:53,45,,Friday
5/26/2017,5/26/2017 9:10,,47,Friday
5/26/2017,5/26/2017 9:59,45,,Friday
5/26/2017,5/26/2017 10:05,-999,,Friday
5/26/2017,5/26/2017 10:17,45,,Friday
5/26/2017,5/26/2017 10:24,55,,Friday
5/26/2017,5/26/2017 10:38,65,,Friday
5/26/2017,5/26/2017 10:45,65,,Friday
5/26/2017,5/26/2017 10:52,75,,Friday
5/26/2017,5/26/2017 10:59,75,,Friday
5/26/2017,5/26/2017 11:03,75,,Friday
5/26/2017,5/26/2017 11:10,85,,Friday
5/26/2017,5/26/2017 11:17,85,,Friday
5/26/2017,5/26/2017 11:30,85,,Friday
5/26/2017,5/26/2017 11:38,85,,Friday
5/26/2017,5/26/2017 11:45,85,,Friday
5/26/2017,5/26/2017 11:52,100,,Friday
5/26/2017,5/26/2017 11:59,100,,Friday
5/26/2017,5/26/2017 12:03,100,,Friday
5/26/2017,5/26/2017 12:10,100,,Friday
5/26/2017,5/26/2017 12:17,100,,Friday
5/26/2017,5/26/2017 12:24,105,,Friday
5/26/2017,5/26/2017 12:26,-999,,Friday
5/26/2017,5/26/2017 12:30,65,,Friday
5/26/2017,5/26/2017 12:38,70,,Friday
5/26/2017,5/26/2017 12:45,75,,Friday
5/26/2017,5/26/2017 11:44,,62,Friday
5/26/2017,5/26/2017 12:52,70,,Friday
5/26/2017,5/26/2017 12:59,70,,Friday
5/26/2017,5/26/2017 13:03,65,,Friday
5/26/2017,5/26/2017 13:10,75,,Friday
5/26/2017,5/26/2017 13:17,65,,Friday
5/26/2017,5/26/2017 11:44,,62,Friday
5/26/2017,5/26/2017 13:30,60,,Friday
5/26/2017,5/26/2017 13:35,-999,,Friday
5/26/2017,5/26/2017 13:38,65,,Friday
5/26/2017,5/26/2017 13:45,65,,Friday
5/26/2017,5/26/2017 13:52,65,,Friday
5/26/2017,5/26/2017 13:59,65,,Friday
5/26/2017,5/26/2017 14:03,75,,Friday
5/26/2017,5/26/2017 14:10,70,,Friday
5/26/2017,5/26/2017 14:17,70,,Friday
5/26/2017,5/26/2017 14:24,70,,Friday
5/26/2017,5/26/2017 14:30,70,,Friday
5/26/2017,5/26/2017 13:25,,75,Friday
5/26/2017,5/26/2017 18:10,10,,Friday
5/26/2017,5/26/2017 18:17,10,,Friday
5/26/2017,5/26/2017 18:24,10,,Friday
5/26/2017,5/26/2017 18:30,10,,Friday
5/26/2017,5/26/2017 18:38,10,,Friday
5/26/2017,5/26/2017 18:45,10,,Friday
5/26/2017,5/26/2017 18:52,10,,Friday
5/26/2017,5/26/2017 18:59,10,,Friday
5/26/2017,5/26/2017 19:03,10,,Friday
5/26/2017,5/26/2017 19:10,10,,Friday
5/26/2017,5/26/2017 19:17,10,,Friday
5/26/2017,5/26/2017 19:24,10,,Friday
5/26/2017,5/26/2017 19:30,10,,Friday
5/26/2017,5/26/2017 19:38,10,,Friday
5/26/2017,5/26/2017 19:45,10,,Friday
5/26/2017,5/26/2017 19:52,10,,Friday
5/26/2017,5/26/2017 19:59,20,,Friday
5/26/2017,5/26/2017 20:03,20,,Friday
5/26/2017,5/26/2017 20:10,20,,Friday
5/26/2017,5/26/2017 20:17,20,,Friday
5/26/2017,5/26/2017 20:24,20,,Friday
5/26/2017,5/26/2017 20:30,10,,Friday
5/26/2017,5/26/2017 20:38,10,,Friday
5/26/2017,5/26/2017 20:45,10,,Friday
5/26/2017,5/26/2017 20:52,10,,Friday
5/26/2017,5/26/2017 20:59,10,,Friday
5/26/2017,5/26/2017 21:03,10,,Friday
5/26/2017,5/26/2017 21:17,10,,Friday
5/26/2017,5/26/2017 21:24,10,,Friday
5/26/2017,5/26/2017 21:30,10,,Friday
5/26/2017,5/26/2017 21:38,10,,Friday
5/27/2017,5/27/2017 7:17,60,,Saturday
5/27/2017,5/27/2017 7:01,,22,Saturday
5/27/2017,5/27/2017 7:24,90,,Saturday
5/27/2017,5/27/2017 7:30,90,,Saturday
5/27/2017,5/27/2017 7:38,90,,Saturday
5/27/2017,5/27/2017 7:52,120,,Saturday
5/27/2017,5/27/2017 8:03,195,,Saturday
5/27/2017,5/27/2017 8:10,195,,Saturday
5/27/2017,5/27/2017 8:17,195,,Saturday
5/27/2017,5/27/2017 8:24,195,,Saturday
5/27/2017,5/27/2017 8:30,195,,Saturday
5/27/2017,5/27/2017 7:51,,47,Saturday
5/27/2017,5/27/2017 8:38,195,,Saturday
5/27/2017,5/27/2017 8:45,195,,Saturday
5/27/2017,5/27/2017 8:52,195,,Saturday
5/27/2017,5/27/2017 8:59,195,,Saturday
5/27/2017,5/27/2017 9:03,195,,Saturday
5/27/2017,5/27/2017 9:10,195,,Saturday
5/27/2017,5/27/2017 9:17,250,,Saturday
5/27/2017,5/27/2017 9:24,250,,Saturday
5/27/2017,5/27/2017 9:31,250,,Saturday
5/27/2017,5/27/2017 9:38,250,,Saturday
5/27/2017,5/27/2017 9:45,250,,Saturday
5/27/2017,5/27/2017 9:52,250,,Saturday
