date,datetime,SPOSTMIN,SACTMIN,DAYOFWEEK
5/26/2017,5/26/2017 9:09,-999,,Friday
5/26/2017,5/26/2017 9:10,5,,Friday
5/26/2017,5/26/2017 9:17,45,,Friday
5/26/2017,5/26/2017 9:24,45,,Friday
5/26/2017,5/26/2017 9:30,45,,Friday
5/26/2017,5/26/2017 9:38,-999,,Friday
5/26/2017,5/26/2017 9:45,45,,Friday
5/26/2017,5/26/2017 9:53,45,,Friday
5/26/2017,5/26/2017 9:59,45,,Friday
5/26/2017,5/26/2017 10:17,60,,Friday
5/26/2017,5/26/2017 10:24,75,,Friday
5/26/2017,5/26/2017 10:38,75,,Friday
5/26/2017,5/26/2017 10:45,75,,Friday
5/26/2017,5/26/2017 10:52,60,,Friday
5/26/2017,5/26/2017 10:59,60,,Friday
5/26/2017,5/26/2017 11:03,60,,Friday
5/26/2017,5/26/2017 11:10,60,,Friday
5/26/2017,5/26/2017 11:11,-999,,Friday
5/26/2017,5/26/2017 11:17,60,,Friday
5/26/2017,5/26/2017 11:30,60,,Friday
5/26/2017,5/26/2017 11:38,60,,Friday
5/26/2017,5/26/2017 11:45,60,,Friday
5/26/2017,5/26/2017 11:52,60,,Friday
5/26/2017,5/26/2017 11:59,60,,Friday
5/26/2017,5/26/2017 12:03,60,,Friday
5/26/2017,5/26/2017 12:04,-999,,Friday
5/26/2017,5/26/2017 12:10,60,,Friday
5/26/2017,5/26/2017 12:17,60,,Friday
5/26/2017,5/26/2017 12:24,60,,Friday
5/26/2017,5/26/2017 12:30,60,,Friday
5/26/2017,5/26/2017 12:38,40,,Friday
5/26/2017,5/26/2017 12:45,40,,Friday
5/26/2017,5/26/2017 12:52,40,,Friday
5/26/2017,5/26/2017 12:59,60,,Friday
5/26/2017,5/26/2017 13:03,60,,Friday
5/26/2017,5/26/2017 13:10,60,,Friday
5/26/2017,5/26/2017 13:17,60,,Friday
5/26/2017,5/26/2017 13:30,60,,Friday
5/26/2017,5/26/2017 13:38,60,,Friday
5/26/2017,5/26/2017 13:45,60,,Friday
5/26/2017,5/26/2017 13:52,60,,Friday
5/26/2017,5/26/2017 13:59,50,,Friday
5/26/2017,5/26/2017 14:03,60,,Friday
5/26/2017,5/26/2017 14:10,60,,Friday
5/26/2017,5/26/2017 14:17,55,,Friday
5/26/2017,5/26/2017 14:24,55,,Friday
5/26/2017,5/26/2017 14:30,60,,Friday
5/26/2017,5/26/2017 14:38,50,,Friday
5/26/2017,5/26/2017 14:45,50,,Friday
5/26/2017,5/26/2017 14:52,50,,Friday
5/26/2017,5/26/2017 18:10,10,,Friday
