date,datetime,SPOSTMIN,SACTMIN,DAYOFWEEK
6/30/2018,6/30/2018 7:44,270,,Saturday
6/30/2018,6/30/2018 7:51,270,,Saturday
6/30/2018,6/30/2018 7:58,270,,Saturday
6/30/2018,6/30/2018 8:02,270,,Saturday
6/30/2018,6/30/2018 8:09,270,,Saturday
6/30/2018,6/30/2018 8:16,270,,Saturday
6/30/2018,6/30/2018 8:23,270,,Saturday
6/30/2018,6/30/2018 8:29,270,,Saturday
6/30/2018,6/30/2018 8:37,270,,Saturday
6/30/2018,6/30/2018 8:44,270,,Saturday
6/30/2018,6/30/2018 8:51,270,,Saturday
6/30/2018,6/30/2018 8:58,270,,Saturday
6/30/2018,6/30/2018 9:02,270,,Saturday
6/30/2018,6/30/2018 9:09,270,,Saturday
6/30/2018,6/30/2018 9:16,270,,Saturday
6/30/2018,6/30/2018 9:23,270,,Saturday
6/30/2018,6/30/2018 9:29,270,,Saturday
6/30/2018,6/30/2018 9:37,270,,Saturday
6/30/2018,6/30/2018 9:44,270,,Saturday
6/30/2018,6/30/2018 9:51,270,,Saturday
6/30/2018,6/30/2018 9:58,270,,Saturday
6/30/2018,6/30/2018 10:02,270,,Saturday
6/30/2018,6/30/2018 10:09,270,,Saturday
6/30/2018,6/30/2018 10:16,270,,Saturday
6/30/2018,6/30/2018 10:23,270,,Saturday
6/30/2018,6/30/2018 10:29,270,,Saturday
6/30/2018,6/30/2018 10:37,270,,Saturday
6/30/2018,6/30/2018 10:44,270,,Saturday
6/30/2018,6/30/2018 10:51,270,,Saturday
6/30/2018,6/30/2018 10:58,270,,Saturday
6/30/2018,6/30/2018 11:02,270,,Saturday
6/30/2018,6/30/2018 11:09,270,,Saturday
6/30/2018,6/30/2018 11:16,270,,Saturday
6/30/2018,6/30/2018 11:23,270,,Saturday
6/30/2018,6/30/2018 11:29,270,,Saturday
6/30/2018,6/30/2018 11:37,270,,Saturday
6/30/2018,6/30/2018 11:44,270,,Saturday
6/30/2018,6/30/2018 11:51,270,,Saturday
6/30/2018,6/30/2018 11:58,270,,Saturday
6/30/2018,6/30/2018 12:02,270,,Saturday
6/30/2018,6/30/2018 12:06,300,,Saturday
6/30/2018,6/30/2018 12:09,270,,Saturday
6/30/2018,6/30/2018 12:16,270,,Saturday
6/30/2018,6/30/2018 12:23,270,,Saturday
6/30/2018,6/30/2018 12:29,270,,Saturday
6/30/2018,6/30/2018 12:37,270,,Saturday
6/30/2018,6/30/2018 12:44,270,,Saturday
6/30/2018,6/30/2018 12:51,270,,Saturday
6/30/2018,6/30/2018 12:58,270,,Saturday
6/30/2018,6/30/2018 13:02,-999,,Saturday
